JobTitle,Company,CompanyRating,JobLocation,Remote,PostDate,ExtractionDate,JobUrl
Applied Data Scientist,IntelliSense.io,,"Barcelona, Barcelona provincia",True,hace 8 días,2021-03-29,https://es.indeed.com/rc/clk?jk=547cd179f403ae06&fccid=0e374b82a29a1049&vjs=3
Data Scientist Intern,ZeptoLab,,"Barcelona, Barcelona provincia",False,hace 15 días,2021-03-29,https://es.indeed.com/rc/clk?jk=0a477c63722f41a7&fccid=fea8c93b7974f803&vjs=3
CRM Junior Data Scientist,Adam Foods,,"Barcelona, Barcelona provincia",False,hace 13 días,2021-03-29,https://es.indeed.com/rc/clk?jk=8722b98c6736bc41&fccid=9dae1137654eb1d5&vjs=3
Data Scientist,eDreams ODIGEO,"3,6","Barcelona, Barcelona provincia",True,hace 4 días,2021-03-29,https://es.indeed.com/rc/clk?jk=75db214fdeb5f6d1&fccid=34d04f6900db138d&vjs=3
Data Scientist,Jellyfish Group Ltd,,"Barcelona, Barcelona provincia",False,hace 2 días,2021-03-29,https://es.indeed.com/rc/clk?jk=5cc487de9c935075&fccid=00f1b8a7966fcb79&vjs=3
Data Scientist,Enzyme,,"Barcelona, Barcelona provincia",False,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=a7a64c3537fc092d&fccid=f60a1abecf182ce2&vjs=3
Reference Data Scientist,Holaluz,"4,0","Barcelona, Barcelona provincia",False,hace 6 días,2021-03-29,https://es.indeed.com/rc/clk?jk=1c5f89107bd4b485&fccid=072e277bb0b2f63c&vjs=3
Data Scientist,Entravision,,"Barcelona, Barcelona provincia",True,hace 10 días,2021-03-29,https://es.indeed.com/rc/clk?jk=65c81475f16fb2ef&fccid=715e5538e133fb28&vjs=3
Data Scientist Intern - Full time,Entravision Communications Corporation,,"Barcelona, Barcelona provincia",False,hace 6 días,2021-03-29,https://es.indeed.com/rc/clk?jk=8ae46c8c831b4108&fccid=55a8ffd39b479920&vjs=3
Data Scientist Internship - Full time,Entravision,,"Barcelona, Barcelona provincia",False,hace 10 días,2021-03-29,https://es.indeed.com/rc/clk?jk=fb89f55e0fdb0a15&fccid=715e5538e133fb28&vjs=3
Data Scientist-Digital Business Experience,Ferrer,"3,8","Barcelona, Barcelona provincia",False,hace 2 días,2021-03-29,https://es.indeed.com/rc/clk?jk=3f4951a6c808ecfb&fccid=316f2882fa49ccc7&vjs=3
Game Data Scientist,Voodoo,,"Barcelona, Barcelona provincia",False,hace 18 días,2021-03-29,https://es.indeed.com/rc/clk?jk=532353f2a63dac4d&fccid=8ef7e881dac94697&vjs=3
Data Scientist,Zurich Insurance,"3,6","Barcelona, Barcelona provincia",False,hace 20 días,2021-03-29,https://es.indeed.com/rc/clk?jk=7f393ecc2b2c044d&fccid=34938366d45106af&vjs=3
Data Scientist Specialist (ASL),Nestle,"4,2","Esplugues de Llobregat, Barcelona provincia",False,hace 9 días,2021-03-29,https://es.indeed.com/rc/clk?jk=b68e31847a1b57b6&fccid=bfdac90a7574b77c&vjs=3
Data Scientist,SpotLab,,"Madrid, Madrid provincia",False,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=046cd8d1d0577b3f&fccid=152aea16c741382e&vjs=3
INVESTIGADORES/AS - INGENIEROS/AS SOFTWARE / DATA SCIENTIST PARA PROYECTOS DE I+D,Centre Tecnologic de Catalunya,,"Barcelona, Barcelona provincia",False,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=3609db49f14fba1a&fccid=6b79779c98eccf87&vjs=3
Data Scientist,"Amazon Spain Services, S.L.","3,6","Barcelona, Barcelona provincia",False,hace 23 días,2021-03-29,https://es.indeed.com/rc/clk?jk=7b16cbf375a7e23c&fccid=fe2d21eef233e94a&vjs=3
Senior Data Scientist,Sage,"3,4","Barcelona, Barcelona provincia",False,hace 6 días,2021-03-29,https://es.indeed.com/rc/clk?jk=073bf07785c9d8f9&fccid=848f060296f23fff&vjs=3
Senior Data Scientist- Europe Remote,Vistaprint,"3,5","Barcelona, Barcelona provincia",True,hace 26 días,2021-03-29,https://es.indeed.com/rc/clk?jk=af4802dda8c48bd0&fccid=3755b60c862441f9&vjs=3
